date,client,task_description,hours,billable,notes
02/06/2026,Acme Corp,FPS product spec — stakeholder interviews (Marcus + Raj),3,yes,
02/06/2026,Acme Corp,Weekly status update email to Sarah,0.5,yes,
03/06/2026,GlobalTech,Enterprise GTM strategy — competitive research,3,yes,
03/06/2026,Admin,Invoicing and financial admin,1,no,
04/06/2026,Acme Corp,FPS spec writing session,4,yes,
04/06/2026,RetailCo,Phase 2 analysis prep — stakeholder interview notes review,2,yes,
05/06/2026,GlobalTech,Developer documentation framework — first draft,3,yes,
05/06/2026,RetailCo,Gap analysis vs industry benchmarks,3,yes,
06/06/2026,Acme Corp,FPS spec review with team (video call),1.5,yes,
06/06/2026,Admin,BD call — new prospect (InnovatePay),1,no,
09/06/2026,Acme Corp,SEPA regulatory gap analysis — research,3,yes,
09/06/2026,GlobalTech,Enterprise go-to-market strategy — draft slides,3,yes,
09/06/2026,RetailCo,Financial model — cost of inefficiencies,2,yes,
10/06/2026,RetailCo,Data analysis — inventory turn and shrinkage data,4,yes,
10/06/2026,Acme Corp,Developer portal UX brief — stakeholder interviews,2,yes,
10/06/2026,Admin,Email catch-up and scheduling,0.5,no,
